"","RETURNED_2ND_YR","levels","n","N","percentage","varNames"
"276",1,"SCHOOL 447",1,1,1,"HIGH_SCHL_NAME"
"277",1,"SCHOOL 45",8,8,1,"HIGH_SCHL_NAME"
"278",1,"SCHOOL 451",1,1,1,"HIGH_SCHL_NAME"
"279",1,"SCHOOL 452",1,2,0.5,"HIGH_SCHL_NAME"
"280",1,"SCHOOL 453",2,2,1,"HIGH_SCHL_NAME"
"281",1,"SCHOOL 455",2,2,1,"HIGH_SCHL_NAME"
"282",1,"SCHOOL 457",1,1,1,"HIGH_SCHL_NAME"
"283",1,"SCHOOL 458",1,1,1,"HIGH_SCHL_NAME"
"284",1,"SCHOOL 459",1,1,1,"HIGH_SCHL_NAME"
"285",1,"SCHOOL 46",8,13,0.615384615384615,"HIGH_SCHL_NAME"
"286",1,"SCHOOL 461",1,1,1,"HIGH_SCHL_NAME"
"287",1,"SCHOOL 462",1,1,1,"HIGH_SCHL_NAME"
"288",1,"SCHOOL 463",1,1,1,"HIGH_SCHL_NAME"
"289",1,"SCHOOL 464",1,1,1,"HIGH_SCHL_NAME"
"290",1,"SCHOOL 465",2,2,1,"HIGH_SCHL_NAME"
"291",1,"SCHOOL 466",1,1,1,"HIGH_SCHL_NAME"
"292",1,"SCHOOL 467",3,3,1,"HIGH_SCHL_NAME"
"293",1,"SCHOOL 468",1,1,1,"HIGH_SCHL_NAME"
"294",1,"SCHOOL 469",1,1,1,"HIGH_SCHL_NAME"
"295",1,"SCHOOL 47",4,7,0.571428571428571,"HIGH_SCHL_NAME"
"296",1,"SCHOOL 470",1,1,1,"HIGH_SCHL_NAME"
"297",1,"SCHOOL 475",1,2,0.5,"HIGH_SCHL_NAME"
"298",1,"SCHOOL 477",12,13,0.923076923076923,"HIGH_SCHL_NAME"
"299",1,"SCHOOL 48",19,23,0.826086956521739,"HIGH_SCHL_NAME"
"300",1,"SCHOOL 481",1,1,1,"HIGH_SCHL_NAME"
"301",1,"SCHOOL 482",1,1,1,"HIGH_SCHL_NAME"
"302",1,"SCHOOL 483",1,1,1,"HIGH_SCHL_NAME"
"303",1,"SCHOOL 484",1,1,1,"HIGH_SCHL_NAME"
"304",1,"SCHOOL 486",1,2,0.5,"HIGH_SCHL_NAME"
"305",1,"SCHOOL 487",1,1,1,"HIGH_SCHL_NAME"
"306",1,"SCHOOL 488",1,1,1,"HIGH_SCHL_NAME"
"307",1,"SCHOOL 489",1,1,1,"HIGH_SCHL_NAME"
"308",1,"SCHOOL 49",4,5,0.8,"HIGH_SCHL_NAME"
"309",1,"SCHOOL 490",1,1,1,"HIGH_SCHL_NAME"
"310",1,"SCHOOL 492",1,1,1,"HIGH_SCHL_NAME"
"311",1,"SCHOOL 493",1,1,1,"HIGH_SCHL_NAME"
"312",1,"SCHOOL 494",1,1,1,"HIGH_SCHL_NAME"
"313",1,"SCHOOL 495",1,1,1,"HIGH_SCHL_NAME"
"314",1,"SCHOOL 496",1,1,1,"HIGH_SCHL_NAME"
"315",1,"SCHOOL 497",1,1,1,"HIGH_SCHL_NAME"
"316",1,"SCHOOL 498",1,1,1,"HIGH_SCHL_NAME"
"317",1,"SCHOOL 5",25,33,0.757575757575758,"HIGH_SCHL_NAME"
"318",1,"SCHOOL 50",3,7,0.428571428571429,"HIGH_SCHL_NAME"
"319",1,"SCHOOL 502",1,1,1,"HIGH_SCHL_NAME"
"320",1,"SCHOOL 503",1,1,1,"HIGH_SCHL_NAME"
"321",1,"SCHOOL 508",1,1,1,"HIGH_SCHL_NAME"
"322",1,"SCHOOL 509",1,2,0.5,"HIGH_SCHL_NAME"
"323",1,"SCHOOL 51",4,4,1,"HIGH_SCHL_NAME"
"324",1,"SCHOOL 510",1,1,1,"HIGH_SCHL_NAME"
"325",1,"SCHOOL 512",1,1,1,"HIGH_SCHL_NAME"
"326",1,"SCHOOL 515",1,1,1,"HIGH_SCHL_NAME"
"327",1,"SCHOOL 518",1,1,1,"HIGH_SCHL_NAME"
"328",1,"SCHOOL 519",1,1,1,"HIGH_SCHL_NAME"
"329",1,"SCHOOL 52",16,19,0.842105263157895,"HIGH_SCHL_NAME"
"330",1,"SCHOOL 520",1,1,1,"HIGH_SCHL_NAME"
"331",1,"SCHOOL 521",1,1,1,"HIGH_SCHL_NAME"
"332",1,"SCHOOL 522",1,1,1,"HIGH_SCHL_NAME"
"333",1,"SCHOOL 524",1,1,1,"HIGH_SCHL_NAME"
"334",1,"SCHOOL 525",1,1,1,"HIGH_SCHL_NAME"
"335",1,"SCHOOL 526",1,1,1,"HIGH_SCHL_NAME"
"336",1,"SCHOOL 527",1,1,1,"HIGH_SCHL_NAME"
"337",1,"SCHOOL 53",4,5,0.8,"HIGH_SCHL_NAME"
"338",1,"SCHOOL 533",1,1,1,"HIGH_SCHL_NAME"
"339",1,"SCHOOL 54",6,13,0.461538461538462,"HIGH_SCHL_NAME"
"340",1,"SCHOOL 55",10,14,0.714285714285714,"HIGH_SCHL_NAME"
"341",1,"SCHOOL 56",2,2,1,"HIGH_SCHL_NAME"
"342",1,"SCHOOL 57",5,7,0.714285714285714,"HIGH_SCHL_NAME"
"343",1,"SCHOOL 58",1,1,1,"HIGH_SCHL_NAME"
"344",1,"SCHOOL 59",1,1,1,"HIGH_SCHL_NAME"
"345",1,"SCHOOL 6",12,13,0.923076923076923,"HIGH_SCHL_NAME"
"346",1,"SCHOOL 60",1,1,1,"HIGH_SCHL_NAME"
"347",1,"SCHOOL 61",16,20,0.8,"HIGH_SCHL_NAME"
"348",1,"SCHOOL 62",1,1,1,"HIGH_SCHL_NAME"
"349",1,"SCHOOL 63",4,9,0.444444444444444,"HIGH_SCHL_NAME"
"350",1,"SCHOOL 65",10,11,0.909090909090909,"HIGH_SCHL_NAME"
"351",1,"SCHOOL 66",16,20,0.8,"HIGH_SCHL_NAME"
